CSDUID,DGUID
1310006,2021A00051310006
1310007,2021A00051310007
1310008,2021A00051310008
1310011,2021A00051310011
1310012,2021A00051310012
1310013,2021A00051310013
1310014,2021A00051310014
1310016,2021A00051310016
1310017,2021A00051310017
1310018,2021A00051310018
1310019,2021A00051310019
1310021,2021A00051310021
1310024,2021A00051310024
1310025,2021A00051310025
1310026,2021A00051310026
1310028,2021A00051310028
1310031,2021A00051310031
1310032,2021A00051310032
1310034,2021A00051310034
1310036,2021A00051310036
1310037,2021A00051310037
1310054,2021A00051310054
1311001,2021A00051311001
1311004,2021A00051311004
1311005,2021A00051311005
1311006,2021A00051311006
1311008,2021A00051311008
1311011,2021A00051311011
1311012,2021A00051311012
1311014,2021A00051311014
1311018,2021A00051311018
1311019,2021A00051311019
1311021,2021A00051311021
1311024,2021A00051311024
1311026,2021A00051311026
1311027,2021A00051311027
1311028,2021A00051311028
1311030,2021A00051311030
1311031,2021A00051311031
1312001,2021A00051312001
1312002,2021A00051312002
1312004,2021A00051312004
1312006,2021A00051312006
1312007,2021A00051312007
1312008,2021A00051312008
1312009,2021A00051312009
1312011,2021A00051312011
1312014,2021A00051312014
1312016,2021A00051312016
1312019,2021A00051312019
1312021,2021A00051312021
1312023,2021A00051312023
1313002,2021A00051313002
1313004,2021A00051313004
1313006,2021A00051313006
1313008,2021A00051313008
1313011,2021A00051313011
1313012,2021A00051313012
1313014,2021A00051313014
1313015,2021A00051313015
1313018,2021A00051313018
1313020,2021A00051313020
1313022,2021A00051313022
1313024,2021A00051313024
1313027,2021A00051313027
1313028,2021A00051313028
1313031,2021A00051313031
1313037,2021A00051313037
1314001,2021A00051314001
1314003,2021A00051314003
1314004,2021A00051314004
1314005,2021A00051314005
1314006,2021A00051314006
1314008,2021A00051314008
1314010,2021A00051314010
1314011,2021A00051314011
1314012,2021A00051314012
1314013,2021A00051314013
1314014,2021A00051314014
1314015,2021A00051314015
1314016,2021A00051314016
1314017,2021A00051314017
1314020,2021A00051314020
1314021,2021A00051314021
1314022,2021A00051314022
1314025,2021A00051314025
1314026,2021A00051314026
1315002,2021A00051315002
1315006,2021A00051315006
1315008,2021A00051315008
1315010,2021A00051315010
1315011,2021A00051315011
1315012,2021A00051315012
1315013,2021A00051315013
1315014,2021A00051315014
1315015,2021A00051315015
1315016,2021A00051315016
1315017,2021A00051315017
1315019,2021A00051315019
1315020,2021A00051315020
1315021,2021A00051315021
1315022,2021A00051315022
1315024,2021A00051315024
1315026,2021A00051315026
1315027,2021A00051315027
1315028,2021A00051315028
1315029,2021A00051315029
1315030,2021A00051315030
1315031,2021A00051315031
1315032,2021A00051315032
1315033,2021A00051315033
1315036,2021A00051315036
1315037,2021A00051315037
1315038,2021A00051315038
1315040,2021A00051315040
2401023,2021A00052401023
2401042,2021A00052401042
2402005,2021A00052402005
2402010,2021A00052402010
2402015,2021A00052402015
2402028,2021A00052402028
2402047,2021A00052402047
2402902,2021A00052402902
2403005,2021A00052403005
2403010,2021A00052403010
2403015,2021A00052403015
2403020,2021A00052403020
2403025,2021A00052403025
2403902,2021A00052403902
2403904,2021A00052403904
2404005,2021A00052404005
2404010,2021A00052404010
2404015,2021A00052404015
2404020,2021A00052404020
2404025,2021A00052404025
2404030,2021A00052404030
2404037,2021A00052404037
2404047,2021A00052404047
2404902,2021A00052404902
2404904,2021A00052404904
2405010,2021A00052405010
2405015,2021A00052405015
2405020,2021A00052405020
2405025,2021A00052405025
2405032,2021A00052405032
2405040,2021A00052405040
2405045,2021A00052405045
2405050,2021A00052405050
2405055,2021A00052405055
2405060,2021A00052405060
2405065,2021A00052405065
2405070,2021A00052405070
2405077,2021A00052405077
2405902,2021A00052405902
2406005,2021A00052406005
2406013,2021A00052406013
2406020,2021A00052406020
2406025,2021A00052406025
